stop_id,stop_name,stop_lat,stop_lon,s_coord_ft,s_coord_mi,district_id,zone_type,status,priority,is_existing,is_mandatory,is_school_stop,wheelchair_boarding,walk_buffer_ft,raw_walkshed_pop,marginal_walkshed_pop,equity_walkshed_pop,tdi,equity_priority,est_new_riders_daily,est_annual_boardings,annual_benefit_usd,capital_cost_usd,pv_benefits_usd,pv_total_costs_usd,net_pv_usd,bcr_20yr,fta_cei_per_user_hr,gap_before_ft,gap_after_ft,justification,data_sources
R27_OSM_65594033,Blossom Hill Road; Camden Avenue,37.23635483,-121.9036265,63158.0,11.962,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2571,2571,1625.39,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65594033 (degree=6)
R27_OSM_65616274,Blossom Hill Road; Park Crest Drive,37.23773848263852,-121.89901887981885,64613.0,12.237,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,5465,5465,3547.77,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65616274 (degree=6)
R27_FORCE_004,Dartmouth Middle School (Leigh Ave),37.239,-121.896,65608.0,12.426,,suburban,EXISTING_KEEP,—,True,True,True,1,2640.0,6149,6149,4003.34,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,Union School District facility map
R27_OSM_8700990669,Blossom Hill Road,37.240546217712485,-121.89267880849361,66725.0,12.637,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,6179,6179,4038.67,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 8700990669 (degree=3)
R27_OSM_65616300,Blossom Hill Road; Meridian Avenue,37.243182758798945,-121.88953027238223,68098.0,12.897,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2752,2752,1852.69,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65616300 (degree=8)
R27_OSM_65616306,Blossom Hill Road,37.24542134277785,-121.88770338387891,69110.0,13.089,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65616306 (degree=4)
R27_OSM_65427335,,37.24560547,-121.8873291,69238.0,13.113,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65427335 (degree=3)
R27_OSM_7715611578,Blossom Hill Road,37.24820423486564,-121.8826955407412,70885.0,13.425,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 7715611578 (degree=3)
R27_OSM_4549966664,Blossom Hill Road,37.25069603248597,-121.87588407460997,73089.0,13.843,,suburban,NEW_IN_SELECTION,—,False,False,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 4549966664 (degree=3)
R27_OSM_5376562627,Blossom Hill Road; Blossom River Drive,37.250346774925,-121.8696760241107,74899.0,14.185,,suburban,NEW_IN_SELECTION,—,False,False,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 5376562627 (degree=5)
