timestamp,school,grade,current_mode,currently_rides_bus,would_ride_bus,n_total_columns
2026-01-13 11:59:57.707,On the street next to the school,7th,A parent/guardian drives me,No,Subsidized/free bus passes provided,18
2026-01-13 12:01:13.562,15549 Union Avenue (Safeway),7th,I carpool with another family,Yes,"I have period zero, which starts at 7:30 AM in the morning. It is more comfortable to have parents and guardians because you know they will wait. The bus stop near my house is a walk with busy cars. ",18
2026-01-13 12:01:49.860,Los Gatos Almaden and Union,7th,A parent/guardian drives me,No,Subsidized/free bus passes provided,18
2026-01-13 12:12:26.139,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 12:17:16.290,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 13:14:03.416,,7th,I bike/skate/scooter,,,18
2026-01-13 13:14:30.963,,7th,I walk,,,18
2026-01-13 13:14:32.443,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 13:14:56.926,,7th,I walk,,,18
2026-01-13 13:15:00.176,,7th,I walk,,,18
2026-01-13 13:15:08.123,,7th,A parent/guardian drives me,No,,18
2026-01-13 13:15:09.862,,7th,I walk,,,18
2026-01-13 13:15:16.023,,7th,I walk,,,18
2026-01-13 13:15:16.200,,7th,I walk,,,18
2026-01-13 13:15:18.733,,7th,I bike/skate/scooter,,,18
2026-01-13 13:15:21.115,,7th,I walk,,,18
2026-01-13 13:15:23.115,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 13:15:25.360,,7th,I bike/skate/scooter,,,18
2026-01-13 13:15:40.096,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 13:15:40.557,,7th,I walk,,,18
2026-01-13 13:15:41.276,,7th,I walk,,,18
2026-01-13 13:15:43.863,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 13:15:55.516,middle school,7th,A parent/guardian drives me,No,Arrives at school at a better time,18
2026-01-13 13:15:57.294,,7th,I walk,,,18
2026-01-13 13:16:00.259,,7th,I walk,,,18
2026-01-13 13:16:02.387,,7th,I bike/skate/scooter,,,18
2026-01-13 13:16:07.454,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 13:16:08.731,,7th,I walk,,,18
2026-01-13 13:16:14.295,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 13:16:14.808,,7th,A parent/guardian drives me,No,,18
2026-01-13 13:16:18.562,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
